                             component htbin njetbin mhtbin        jet_pt      n   nvar
           QCD_HT700to1000_madgraphMLM   400       3    200 446.683592151    354    354
           QCD_HT700to1000_madgraphMLM   400       3    200 501.187233627     36     36
           QCD_HT700to1000_madgraphMLM   400       3    200  562.34132519      0      0
           QCD_HT700to1000_madgraphMLM   400       3    400  112.20184543      0      0
           QCD_HT700to1000_madgraphMLM   400       3    400 125.892541179      0      0
           QCD_HT700to1000_madgraphMLM   400       3    400 141.253754462      0      0
           QCD_HT700to1000_madgraphMLM   400       3    400 158.489319246      0      0
           QCD_HT700to1000_madgraphMLM   400       3    400 177.827941004      0      0
           QCD_HT700to1000_madgraphMLM   400       3    400 199.526231497      0      0
           QCD_HT700to1000_madgraphMLM   400       3    400 223.872113857      0      0
           QCD_HT700to1000_madgraphMLM   400       3    400 251.188643151      0      0
           QCD_HT700to1000_madgraphMLM   400       3    400 281.838293126      0      0
           QCD_HT700to1000_madgraphMLM   400       3    400 316.227766017      1      1
           QCD_HT700to1000_madgraphMLM   400       3    400 354.813389234      2      2
           QCD_HT700to1000_madgraphMLM   400       3    400 398.107170553      1      1
           QCD_HT700to1000_madgraphMLM   400       3    400 446.683592151      1      1
           QCD_HT700to1000_madgraphMLM   400       3    400 501.187233627      0      0
           QCD_HT700to1000_madgraphMLM   400       3    400  562.34132519      0      0
           QCD_HT700to1000_madgraphMLM   400       3    600 316.227766017      0      0
           QCD_HT700to1000_madgraphMLM   400       3    600 354.813389234      0      0
           QCD_HT700to1000_madgraphMLM   400       3    600 398.107170553      0      0
           QCD_HT700to1000_madgraphMLM   400       3    600 446.683592151      0      0
           QCD_HT700to1000_madgraphMLM   400       6    200           100      1      1
           QCD_HT700to1000_madgraphMLM   400       6    200  112.20184543      3      3
           QCD_HT700to1000_madgraphMLM   400       6    200 125.892541179      6      6
           QCD_HT700to1000_madgraphMLM   400       6    200 141.253754462     10     10
           QCD_HT700to1000_madgraphMLM   400       6    200 158.489319246     11     11
           QCD_HT700to1000_madgraphMLM   400       6    200 177.827941004     30     30
           QCD_HT700to1000_madgraphMLM   400       6    200 199.526231497     33     33
           QCD_HT700to1000_madgraphMLM   400       6    200 223.872113857     35     35
           QCD_HT700to1000_madgraphMLM   400       6    200 251.188643151     28     28
           QCD_HT700to1000_madgraphMLM   400       6    200 281.838293126     17     17
           QCD_HT700to1000_madgraphMLM   400       6    200 316.227766017     13     13
           QCD_HT700to1000_madgraphMLM   400       6    200 354.813389234      5      5
           QCD_HT700to1000_madgraphMLM   400       6    200 398.107170553      2      2
           QCD_HT700to1000_madgraphMLM   400       6    200 446.683592151      0      0
           QCD_HT700to1000_madgraphMLM   400       6    200 501.187233627      0      0
           QCD_HT700to1000_madgraphMLM   400       6    400           100      0      0
           QCD_HT700to1000_madgraphMLM   400       6    400  112.20184543      0      0
           QCD_HT700to1000_madgraphMLM   400       6    400 125.892541179      0      0
           QCD_HT700to1000_madgraphMLM   400       6    400 141.253754462      0      0
           QCD_HT700to1000_madgraphMLM   400       6    400 158.489319246      1      1
           QCD_HT700to1000_madgraphMLM   400       6    400 177.827941004      0      0
           QCD_HT700to1000_madgraphMLM   400       6    400 199.526231497      0      0
           QCD_HT700to1000_madgraphMLM   400       6    400 223.872113857      0      0
           QCD_HT700to1000_madgraphMLM   400       6    400 251.188643151      0      0
