                             component depth     class                                 name     pass    total
     WJetsToLNu_HT600to800_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"  1341392  1727544
     WJetsToLNu_HT600to800_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"  1191140  1341392
     WJetsToLNu_HT600to800_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"  1191140  1191140
     WJetsToLNu_HT600to800_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2"  1191140  1191140
     WJetsToLNu_HT600to800_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"  1155709  1191140
     WJetsToLNu_HT600to800_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"  1117424  1155709
     WJetsToLNu_HT600to800_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400"  1116310  1117424
     WJetsToLNu_HT600to800_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"   143663  1116310
     WJetsToLNu_HT600to800_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"   128080   143663
    WJetsToLNu_HT800to1200_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"   694215  1526859
    WJetsToLNu_HT800to1200_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"   533521   694215
    WJetsToLNu_HT800to1200_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"   483421   533521
    WJetsToLNu_HT800to1200_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"   483421   483421
    WJetsToLNu_HT800to1200_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2"   483421   483421
    WJetsToLNu_HT800to1200_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"   477470   483421
    WJetsToLNu_HT800to1200_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"   461305   477470
    WJetsToLNu_HT800to1200_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400"   461269   461305
    WJetsToLNu_HT800to1200_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"    73808   461269
    WJetsToLNu_HT800to1200_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"    65633    73808
   WJetsToLNu_HT1200to2500_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"   107437   245062
   WJetsToLNu_HT1200to2500_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"    81517   107437
   WJetsToLNu_HT1200to2500_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"    75192    81517
   WJetsToLNu_HT1200to2500_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"    75192    75192
   WJetsToLNu_HT1200to2500_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2"    75192    75192
   WJetsToLNu_HT1200to2500_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"    75088    75192
   WJetsToLNu_HT1200to2500_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"    72142    75088
   WJetsToLNu_HT1200to2500_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400"    72142    72142
   WJetsToLNu_HT1200to2500_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"    15827    72142
   WJetsToLNu_HT1200to2500_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"    14141    15827
    WJetsToLNu_HT2500toInf_madgraphMLM     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"   105305   251886
    WJetsToLNu_HT2500toInf_madgraphMLM     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"    78527   105305
    WJetsToLNu_HT2500toInf_madgraphMLM     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"    74054    78527
    WJetsToLNu_HT2500toInf_madgraphMLM     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"    74054    74054
    WJetsToLNu_HT2500toInf_madgraphMLM     1 LambdaStr             "ev : ev.nJet40[0] >= 2"    74054    74054
